country,country_short,date,days,daily_cases,total_cases,deaths_daily,deaths_dotal,school_closure,days_since_schools_closed,workplace_closure,days_workplace_closure,public_events_cancelled,public_events_cancelled_days,public_transit_suspended,days_since_transit_suspend,information_campaign,information_campaign_days,internal_travel_control,days_since_internal_travel_ban,international_travel_controls,days_since_international_ban,stay_at_home,days_since_stay_at_home,rest_on_gatherings,days_rest_on_gatherings,use_face_masks,days_use_face_mask,mobility_index,policy_index,facemask_index,test_rate,testpositivity_rate
Argentina,ARG,2020-02-25,0,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,-2.2,0,,0.003647551,0
Argentina,ARG,2020-02-26,0,,,,,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,,,-2.2,0,,0.004394978,0
Argentina,ARG,2020-02-27,0,,,,,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,,,-2.028571429,0,,0.00523601,0
Argentina,ARG,2020-02-28,0,,,,,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,,,-1.971428571,0,,0.006158304,0
Argentina,ARG,2020-02-29,0,,,,,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,,,-2.285714286,0,,0.007165942,0
Argentina,ARG,2020-03-01,0,,,,,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,,,-3.857142857,0,,0.008292046,0
Argentina,ARG,2020-03-02,0,,,,,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,,,-0.971428571,0,,0.009609706,0
Argentina,ARG,2020-03-03,0,,,,,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,,,2.942857143,0,,0.011237329,0.018086871
Argentina,ARG,2020-03-04,1,,1,,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,,,2.857142857,11.11111111,,0.013336133,0.018086871
Argentina,ARG,2020-03-05,2,,1,,,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,,,3.142857143,11.11111111,,0.016098423,0.018086871
Argentina,ARG,2020-03-06,3,,2,,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,,,3.685714286,11.11111111,,0.019728888,0.027230698
Argentina,ARG,2020-03-07,4,,8,,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,,,3.771428571,11.11111111,,0.024429123,0.070975222
Argentina,ARG,2020-03-08,5,,9,,1,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,,,4,11.11111111,,0.030399026,0.094431669
Argentina,ARG,2020-03-09,6,,12,,1,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,,,4.142857143,11.11111111,,0.037857477,0.094431669
Argentina,ARG,2020-03-10,7,,12,,,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,,,4.457142857,11.11111111,,0.047066953,0.095631861
Argentina,ARG,2020-03-11,8,,19,,1,0,0,0,0,1,1,0,0,1,16,0,0,0.5,1,0,0,0,0,,,2.6,17.00366762,,0.05834094,0.101912199
Argentina,ARG,2020-03-12,9,,19,,,0,0,0,0,1,2,0,0,1,17,0,0,0.5,2,0,0,0,0,,,2.371428571,18.96785312,,0.07202567,0.101912199
Argentina,ARG,2020-03-13,10,,31,,1,0,0,0,0,1,3,0,0,1,18,0,0,0.5,3,0,0,0,0,,,1.685714286,20.2398204,,0.088468317,0.118111502
Argentina,ARG,2020-03-14,11,,34,,2,0,0,0,0,1,4,0,0,1,19,0,0,0.5,4,0,0,0,0,,,-0.885714286,21.16148926,,0.107996641,0.079633528
Argentina,ARG,2020-03-15,12,,45,,2,0,0,0,0,1,5,0,0,1,20,0,0,0.5,5,0,0,0,0,,,-3.142857143,21.86939818,,0.130927818,0.072392635
Argentina,ARG,2020-03-16,13,,56,,2,1,1,0,0,1,6,0,0,1,21,0,0,1,6,0,0,0,0,,,-5.971428571,29.28980599,,0.157599879,0.086120543
Argentina,ARG,2020-03-17,14,,65,,2,1,2,0,0,1,7,0,0,1,22,0,0,1,7,0,0,0,0,,,-11.22857143,31.02420039,,0.188398958,0.079581599
Argentina,ARG,2020-03-18,15,,79,,2,1,3,0,0,1,8,0,0,1,23,0,0,1,8,0,0,0,0,,,-14.62857143,32.30896758,,0.223758685,0.083287388
Argentina,ARG,2020-03-19,16,,97,,2,1,4,1,1,1,9,0,0,1,24,0,0,1,9,1,1,1,1,,,-19.4,41.66666667,,0.264132834,0.097307815
Argentina,ARG,2020-03-20,17,,128,,3,1,5,1,2,1,10,0,0,1,25,1,1,1,10,1,2,1,2,,,-29.22857143,48.30870287,,0.309967551,0.092790271
Argentina,ARG,2020-03-21,18,,158,,3,1,6,1,3,1,11,0,0,1,26,1,2,1,11,1,3,1,3,,,-37,52.21000438,,0.361702981,0.10501274
Argentina,ARG,2020-03-22,19,,225,,4,1,7,1,4,1,12,0,0,1,27,1,3,1,12,1,4,1,4,,,-45.4,55.22522131,,0.419811229,0.143752805
Argentina,ARG,2020-03-23,20,,266,,4,1,8,1,5,1,13,1,1,1,28,1,4,1,13,1,5,1,5,,,-54.82857143,60.17474972,,0.484846116,0.130024897
Argentina,ARG,2020-03-24,21,,301,,4,1,9,1,6,1,14,1,2,1,29,1,5,1,14,1,6,1,6,,,-62.08571429,63.19745578,,0.557464159,0.16473689
Argentina,ARG,2020-03-25,22,,387,,6,1,10,1,7,1,15,1,3,1,30,1,6,1,15,1,7,1,7,,,-67.85714286,65.65979084,,0.638385347,0.154750763
Argentina,ARG,2020-03-26,23,,502,,8,1,11,1,8,1,16,1,4,1,31,1,7,1,16,1,8,1,8,,,-73.94285714,67.75209971,,0.728287241,0.175846963
Argentina,ARG,2020-03-27,24,,589,,12,1,12,1,9,1,17,1,5,1,32,1,8,1,17,1,9,1,9,,,-74.6,69.56956272,,0.827651177,0.178604618
Argentina,ARG,2020-03-28,25,,690,,17,1,13,1,10,1,18,1,6,1,33,1,9,1,18,1,10,1,10,,,-74.57142857,71.17145638,,0.936594881,0.185582525
Argentina,ARG,2020-03-29,26,,745,,19,1,14,1,11,1,19,1,7,1,34,1,10,1,19,1,11,1,11,,,-74.45714286,72.59865906,,1.054733984,0.14263165
Argentina,ARG,2020-03-30,27,,820,,20,1,15,1,12,1,20,1,8,1,35,1,11,1,20,1,12,1,12,,,-73.2,73.88108574,,1.181116816,0.157511389
Argentina,ARG,2020-03-31,28,,966,,24,1,16,1,13,1,21,1,9,1,36,1,12,1,21,1,13,1,13,,,-72.71428571,75.04150628,,1.314268437,0.152610075
Argentina,ARG,2020-04-01,29,,966,,24,1,17,1,14,1,22,1,10,1,37,1,13,1,22,1,14,1,14,,,-72.25714286,76.09774955,,1.452352073,0.152610075
Argentina,ARG,2020-04-02,30,,1133,,31,1,18,1,15,1,23,1,11,1,38,1,14,1,23,1,15,1,15,,,-71.71428571,77.06408007,,1.593413446,0.129839634
Argentina,ARG,2020-04-03,31,,1133,,34,1,19,1,16,1,24,1,12,1,39,1,15,1,24,1,16,1,16,,,-71,77.95210807,,1.735629599,0.125558675
Argentina,ARG,2020-04-04,32,,1265,,37,1,20,1,17,1,25,1,13,1,40,1,16,1,25,1,17,1,17,,,-70.31428571,78.77141721,,1.87747047,0.12667909
Argentina,ARG,2020-04-05,33,,1451,,43,1,21,1,18,1,26,1,14,1,41,1,17,1,26,1,18,1,18,,,-69.71428571,79.53001235,,2.017721061,0.114674347
Argentina,ARG,2020-04-06,34,,1554,,46,1,22,1,19,1,27,1,15,1,42,1,18,1,27,1,19,1,19,,,-68.65714286,80.23464764,,2.155393058,0.1125275
Argentina,ARG,2020-04-07,35,,1628,,53,1,23,1,20,1,28,1,16,1,43,1,19,1,28,1,20,1,20,,,-66.37142857,80.89107228,,2.289617367,0.078704599
Argentina,ARG,2020-04-08,36,,1715,,60,1,24,1,21,1,29,1,17,1,44,1,20,1,29,1,21,1,21,,,-65.14285714,81.50421808,,2.419606975,0.088557001
Argentina,ARG,2020-04-09,37,,1795,,65,1,25,1,22,1,30,1,18,1,45,1,21,1,30,1,22,1,22,,,-64.37142857,82.07834501,,2.544721839,0.084935369
Argentina,ARG,2020-04-10,38,,1894,,79,1,26,1,23,1,31,1,19,1,46,1,22,1,31,1,23,1,23,,,-66.05714286,82.61715549,,2.664606839,0.084593359
Argentina,ARG,2020-04-11,39,,1975,,82,1,27,1,24,1,32,1,20,1,47,1,23,1,32,1,24,1,24,,,-65.85714286,83.12388547,,2.779344984,0.059006018
Argentina,ARG,2020-04-12,40,,2137,,89,1,28,1,25,1,33,1,21,1,48,1,24,1,33,1,25,1,25,,,-65.71428571,83.60137767,,2.889566359,0.075494216
Argentina,ARG,2020-04-13,41,,2203,,95,1,29,1,26,1,34,1,22,1,49,1,25,1,34,1,26,1,26,,,-65.6,84.05214104,,2.996461384,0.069073142
Argentina,ARG,2020-04-14,42,,2272,,98,1,30,1,27,1,35,1,23,1,50,1,26,1,35,1,27,1,27,,,-65.37142857,84.47839947,,3.101660866,0.066725817
Argentina,ARG,2020-04-15,43,,2432,,105,1,31,1,28,1,36,1,24,1,51,1,27,1,36,1,28,1,28,,,-65.28571429,84.88213208,,3.20697602,0.071744455
Argentina,ARG,2020-04-16,44,,2432,,109,1,32,1,29,1,37,1,25,1,52,1,28,1,37,1,29,1,29,,,-65.34285714,85.2651066,,3.314033221,0.074111367
Argentina,ARG,2020-04-17,45,,2560,,115,1,33,1,30,1,38,1,26,1,53,1,29,1,38,1,30,1,30,,,-63.31428571,85.62890745,,3.423874625,0.063368382
Argentina,ARG,2020-04-18,46,,2658,,122,1,34,1,31,1,39,1,27,1,54,1,30,1,39,1,31,1,31,,,-63.54285714,85.97495926,,3.536610176,0.070600135
Argentina,ARG,2020-04-19,47,,2828,,132,1,35,1,32,1,40,1,28,1,55,1,31,1,40,1,32,1,32,,,-63.85714286,86.3045469,,3.651207763,0.060506846
Argentina,ARG,2020-04-20,48,,2930,,134,1,36,1,33,1,41,1,29,1,56,1,32,1,41,1,33,1,33,,,-63.97142857,86.6188324,,3.765497341,0.062048658
Argentina,ARG,2020-04-21,49,,3020,,142,1,37,1,34,1,42,1,30,1,57,1,33,1,42,1,34,1,34,,,-64.54285714,86.91886958,,3.876432316,0.062448802
Argentina,ARG,2020-04-22,50,,3132,,151,1,38,1,35,1,43,1,31,1,58,1,34,1,43,1,35,1,35,,,-65.14285714,87.20561644,,3.980576907,0.055967389
Argentina,ARG,2020-04-23,51,,3276,,159,1,39,1,36,1,44,1,32,1,59,1,35,1,44,1,36,1,36,,,-65.17142857,87.47994604,,4.07469971,0.066233971
Argentina,ARG,2020-04-24,52,,3423,,165,1,40,1,37,1,45,1,33,1,60,1,36,1,45,1,37,1,37,,,-65.25714286,87.74265574,,4.156305148,0.070540982
Argentina,ARG,2020-04-25,53,,3423,,167,1,41,1,38,1,46,1,34,1,61,1,37,1,46,1,38,1,38,,,-65.42857143,87.99447536,,4.223969069,0.075840633
Argentina,ARG,2020-04-26,54,,3767,,185,1,42,1,39,1,47,1,35,1,62,1,38,1,47,1,39,1,39,,,-65.31428571,88.23607429,,4.277428261,0.077532233
Argentina,ARG,2020-04-27,55,,3767,,186,1,43,1,40,1,48,1,36,1,63,0.5,39,1,48,0.66,40,1,40,,,-65.45714286,80.56817147,,4.317451095,0.077679198
Argentina,ARG,2020-04-28,56,,3990,,197,1,44,1,41,1,49,1,37,1,64,0.5,40,1,49,0.66,41,1,41,,,-65.88571429,80.76325155,,4.345556769,0.07982438
Argentina,ARG,2020-04-29,57,,4114,,207,1,45,1,42,1,50,1,38,1,65,0.5,41,1,50,0.66,42,1,42,,,-65.31428571,80.95088537,,4.363678105,0.082825976
Argentina,ARG,2020-04-30,58,,4272,,214,1,46,1,43,1,51,1,39,1,66,0.5,42,1,51,0.66,43,1,43,,,-64.28571429,81.13149439,,4.373885476,0.071792172
Argentina,ARG,2020-05-01,59,,4415,,218,1,47,1,44,1,52,1,40,1,67,0.5,43,1,52,0.66,44,1,44,,,-66.74285714,81.30546863,,4.378281191,0.066787403
Argentina,ARG,2020-05-02,60,,4519,,225,1,48,1,45,1,53,1,41,1,68,0.5,44,1,53,0.66,45,1,45,,,-65.77142857,81.47316955,,4.37909779,0.065034823
Argentina,ARG,2020-05-03,61,,4668,,237,1,49,1,46,1,54,1,42,1,69,0.5,45,1,54,0.66,46,1,46,,,-65.42857143,81.63493263,,4.378914195,0.064314976
Argentina,ARG,2020-05-04,62,,4770,,246,1,50,1,47,1,55,1,43,1,70,0.5,46,1,55,0.66,47,1,47,,,-64.71428571,81.7910697,,4.380818685,0.063787715
Argentina,ARG,2020-05-05,63,,4874,,260,1,51,1,48,1,56,1,44,1,71,0.5,47,1,56,0.66,48,1,48,,,-63.6,81.94187096,,4.388364977,0.064322139
Argentina,ARG,2020-05-06,64,,5007,,264,1,52,1,49,1,57,1,45,1,72,0.5,48,1,57,0.66,49,1,49,,,-63.2,82.0876069,,4.405284909,0.066128496
Argentina,ARG,2020-05-07,65,,5195,,273,1,53,1,50,1,58,1,46,1,73,0.5,49,1,58,0.66,50,1,50,,,-63.05714286,82.2285299,,4.435061951,0.067037626
Argentina,ARG,2020-05-08,66,,5358,,282,1,54,1,51,1,59,1,47,1,74,0.5,50,1,59,0.66,51,1,51,,,-59.17142857,82.36487577,,4.480549386,0.075692769
Argentina,ARG,2020-05-09,67,,5598,,293,1,55,1,52,1,60,1,48,1,75,0.5,51,1,60,0.66,52,1,52,,,-58.4,82.49686505,,4.543787918,0.075752184
Argentina,ARG,2020-05-10,68,,5763,,300,1,56,1,53,1,61,1,49,1,76,0.5,52,1,61,0.66,53,1,53,,,-57.65714286,82.6247043,,4.626066697,0.084851886
Argentina,ARG,2020-05-11,69,,5776,,300,1,57,1,54,1,62,1,50,1,77,1,53,1,62,0.66,54,1,54,,,-56.77142857,87.61759956,,4.728146627,0.092461882
Argentina,ARG,2020-05-12,70,,6021,,305,1,58,0.66,55,1,63,1,51,1,78,1,54,1,63,0.66,55,1,55,,,-55.94285714,84.39955347,,4.850497193,0.100001979
Argentina,ARG,2020-05-13,71,,6550,,319,1,59,0.66,56,1,64,1,52,1,79,1,55,1,64,0.66,56,1,56,,,-55.42857143,84.51980318,,4.993404231,0.104955049
Argentina,ARG,2020-05-14,72,,6866,,329,1,60,0.66,57,1,65,1,53,1,80,1,56,1,65,0.66,57,1,57,,,-55.11428571,84.63649684,,5.15686046,0.107786587
Argentina,ARG,2020-05-15,73,,7121,,353,1,61,0.66,58,1,66,1,54,1,81,1,57,1,66,0.66,58,1,58,,,-54.88571429,84.74979054,,5.340223459,0.109867083
Argentina,ARG,2020-05-16,74,,7466,,356,1,62,0.66,59,1,67,1,55,1,82,1,58,1,67,0.66,59,1,59,,,-54.54285714,84.85983134,,5.541715497,0.115588749
Argentina,ARG,2020-05-17,75,,7792,,363,1,63,0.66,60,1,68,1,56,1,83,1,59,1,68,0.66,60,1,60,,,-54.2,84.96675788,,5.757946233,0.111978661
Argentina,ARG,2020-05-18,76,,7792,,366,1,64,0.66,61,1,69,1,57,1,84,1,60,1,69,0.66,61,1,61,,,-54.02857143,85.07070103,,5.983712074,0.111203581
Argentina,ARG,2020-05-19,77,,8358,,382,1,65,0.66,62,1,70,1,58,1,85,1,61,1,70,0.66,62,1,62,,,-53.91428571,85.17178437,,6.212289901,0.114269892
Argentina,ARG,2020-05-20,78,,8796,,393,1,66,0.66,63,1,71,1,59,1,86,1,62,1,71,0.66,63,1,63,,,-53.91428571,85.27012474,,6.436261262,0.11730843
Argentina,ARG,2020-05-21,79,,9270,,403,1,67,0.66,64,1,72,1,60,1,87,1,63,1,72,0.66,64,1,64,,,-54.17142857,85.36583267,,6.648666724,0.131622078
Argentina,ARG,2020-05-22,80,,9918,,416,1,68,0.66,65,1,73,1,61,1,88,1,64,1,73,0.66,65,1,65,,,-54.34285714,85.45901282,,6.844138148,0.144278341
Argentina,ARG,2020-05-23,81,,10636,,433,1,69,0.66,66,1,74,1,62,1,89,1,65,1,74,0.66,66,1,66,,,-54.11428571,85.54976434,,7.019686159,0.157582127
Argentina,ARG,2020-05-24,82,,11340,,445,1,70,0.66,67,1,75,1,63,1,90,1,66,1,75,0.66,67,1,67,,,-53.85714286,85.63818126,,7.174972423,0.174982095
Argentina,ARG,2020-05-25,83,,12063,,452,1,71,0.66,68,1,76,1,64,1,91,1,67,1,76,0.66,68,1,68,,,-56.65714286,85.72435279,,7.312065355,0.183471851
Argentina,ARG,2020-05-26,84,,12615,,467,1,72,0.66,69,1,77,1,65,1,92,1,68,1,77,0.66,69,1,69,,,-56.54285714,85.80836365,,7.434786893,0.187850728
Argentina,ARG,2020-05-27,85,,13215,,484,1,73,0.66,70,1,78,1,66,1,93,1,69,1,78,0.66,70,1,70,,,-56.31428571,85.89029431,,7.547836549,0.19500497
Argentina,ARG,2020-05-28,86,,13920,,500,1,74,0.66,71,1,79,1,67,1,94,1,70,1,79,0.66,71,1,71,,,-55.8,85.97022132,,7.655936817,0.197108269
Argentina,ARG,2020-05-29,87,,14689,,508,1,75,0.66,72,1,80,1,68,1,95,1,71,1,80,0.66,72,1,72,,,-55.34285714,86.04821749,,7.763248416,0.19420009
Argentina,ARG,2020-05-30,88,,15406,,520,1,76,0.66,73,1,81,1,69,1,96,1,72,1,81,0.66,73,1,73,,,-55.48571429,86.12435213,,7.873192197,0.19490323
Argentina,ARG,2020-05-31,89,,16201,,528,1,77,0.66,74,1,82,1,70,1,97,1,73,1,82,0.66,74,1,74,,,-55.62857143,86.19869126,,7.988623985,0.188728124
Argentina,ARG,2020-06-01,90,,16838,,539,1,78,0.66,75,1,83,1,71,1,98,1,74,1,83,0.66,75,1,75,,,-52.68571429,86.27129783,,8.112148185,0.186859158
Argentina,ARG,2020-06-02,91,,17402,,556,1,79,0.66,76,1,84,1,72,1,99,1,75,1,84,0.66,76,1,76,,,-52.51428571,86.34223184,,8.246330417,0.195268899
Argentina,ARG,2020-06-03,92,,18306,,569,1,80,0.66,77,1,85,1,73,1,100,1,76,1,85,0.66,77,1,77,,,-52.4,86.41155058,,8.393675482,0.200653801
Argentina,ARG,2020-06-04,93,,19255,,583,1,81,0.66,78,1,86,1,74,1,101,1,77,1,86,0.66,78,1,78,,,-52.28571429,86.47930871,,8.556388945,0.202393576
Argentina,ARG,2020-06-05,94,,19255,,588,1,82,0.66,79,1,87,1,75,1,102,1,78,1,87,0.66,79,1,79,,,-52.11428571,86.54555849,,8.736045397,0.202785175
Argentina,ARG,2020-06-06,95,,21024,,632,1,83,0.66,80,1,88,1,76,1,103,1,79,1,88,0.66,80,1,80,,,-51.48571429,86.61034981,,8.933306883,0.204578222
Argentina,ARG,2020-06-07,96,,22007,,648,1,84,0.66,81,1,89,1,77,1,104,1,80,1,89,0.66,81,1,81,,,-50.88571429,86.67373044,,9.147796033,0.205302948
Argentina,ARG,2020-06-08,97,,22781,,664,1,85,0.66,82,1,90,1,78,1,105,1,81,1,90,0.66,82,1,82,,,-50.28571429,86.73574603,,9.37816892,0.210146119
Argentina,ARG,2020-06-09,98,,23607,,693,1,86,0.66,83,1,91,1,79,1,106,1,82,1,91,0.66,83,1,83,,,-49.8,86.79644031,,9.622383757,0.21194654
Argentina,ARG,2020-06-10,99,,24748,,717,1,87,0.66,84,1,92,1,80,1,107,1,83,1,92,0.66,84,1,84,,,-49.05714286,86.85585514,,9.87812441,0.214490186
Argentina,ARG,2020-06-11,100,,25987,,735,1,88,0.66,85,1,93,1,81,1,108,1,84,1,93,0.66,85,1,85,,,-48.34285714,86.91403064,,10.14331398,0.222205816
Argentina,ARG,2020-06-12,101,,27360,,765,1,89,0.66,86,1,94,1,82,1,109,1,85,1,94,0.66,86,1,86,,,-47.71428571,86.97100525,,10.41663545,0.232844762
Argentina,ARG,2020-06-13,102,,28751,,785,1,90,0.66,87,1,95,1,83,1,110,1,86,1,95,0.66,87,1,87,,,-47.31428571,87.02681586,,10.6979677,0.242306929
Argentina,ARG,2020-06-14,103,,30282,,815,1,91,0.66,88,1,96,1,84,1,111,1,87,1,96,0.66,88,1,88,,,-46.82857143,87.08149783,,10.98863931,0.251561035
Argentina,ARG,2020-06-15,104,,31564,,833,1,92,0.66,89,1,97,1,85,1,112,1,88,1,97,0.66,89,1,89,,,-49.28571429,87.13508512,,11.29140859,0.25695889
Argentina,ARG,2020-06-16,105,,32772,,854,1,93,0.66,90,1,98,1,86,1,113,1,89,1,98,0.66,90,1,90,,,-48.8,87.18761033,,11.61009802,0.256667561
Argentina,ARG,2020-06-17,106,,34146,,878,1,94,0.66,91,1,99,1,87,1,114,1,90,1,99,0.66,91,1,91,,,-48.91428571,87.23910479,,11.94885317,0.254122564
Argentina,ARG,2020-06-18,107,,35539,,913,1,95,0.66,92,1,100,1,88,1,115,1,91,1,100,0.66,92,1,92,,,-49.08571429,87.28959858,,12.31104745,0.260012669
Argentina,ARG,2020-06-19,108,,35539,,929,1,96,0.66,93,1,101,1,89,1,116,1,92,1,101,0.66,93,1,93,,,-48.91428571,87.33912065,,12.69792974,0.267581356
Argentina,ARG,2020-06-20,109,,39557,,979,1,97,0.66,94,1,102,1,90,1,117,1,93,1,102,0.66,94,1,94,,,-48.77142857,87.38769882,,13.10722715,0.261536343
Argentina,ARG,2020-06-21,110,,41191,,992,1,98,0.66,95,1,103,1,91,1,118,1,94,1,103,0.66,95,1,95,,,-48.51428571,87.43535986,,13.532084,0.261080107
Argentina,ARG,2020-06-22,111,,42772,,1011,1,99,0.66,96,1,104,1,92,1,119,1,95,1,104,0.66,96,1,96,,,-46.45714286,87.48212955,,13.96083529,0.274386516
Argentina,ARG,2020-06-23,112,,44918,,1043,1,100,0.66,97,1,105,1,93,1,120,1,96,1,105,0.66,97,1,97,,,-47.28571429,87.52803269,,14.37802824,0.286180728
Argentina,ARG,2020-06-24,113,,44918,,1049,1,101,0.66,98,1,106,1,94,1,121,1,97,1,106,0.66,98,1,98,,,-47.68571429,87.57309319,,14.76671772,0.305509105
Argentina,ARG,2020-06-25,114,,49838,,1085,1,102,0.66,99,1,107,1,95,1,122,1,98,1,107,0.66,99,1,99,,,-47.91428571,87.61733406,,15.11155475,0.311426795
Argentina,ARG,2020-06-26,115,,52444,,1124,1,103,0.66,100,1,108,1,96,1,123,1,99,1,108,0.66,100,1,100,,,-48.37142857,87.6607775,,15.40185608,0.321823111
Argentina,ARG,2020-06-27,116,,52444,,1167,1,104,0.66,101,1,109,1,97,1,124,1,100,1,109,0.66,101,1,101,,,-48.57142857,87.70344491,,15.63388894,0.333300237
Argentina,ARG,2020-06-28,117,,57731,,1207,1,105,0.66,102,1,110,1,98,1,125,1,101,1,110,0.66,102,1,102,,,-49.11428571,87.74535693,,15.81186717,0.342626628
Argentina,ARG,2020-06-29,118,,57731,,1217,1,106,0.66,103,1,111,1,99,1,126,1,102,1,111,0.66,103,1,103,,,-48.8,87.78653346,,15.94744109,0.343708784
Argentina,ARG,2020-06-30,119,,62255,,1280,1,107,0.66,104,1,112,1,100,1,127,1,103,1,112,0.66,104,1,104,,,-48.91428571,87.82699373,,16.0577039,0.341332763
Argentina,ARG,2020-07-01,120,,64517,,1307,1,108,1,105,1,113,1,101,1,128,1,104,1,113,0.66,105,1,105,,,-49.08571429,91.40054381,,16.16208041,0.33934818
Argentina,ARG,2020-07-02,121,,67184,,1351,1,109,1,106,1,114,1,102,1,129,1,105,1,114,0.66,106,1,106,,,-49.22857143,91.44171201,,16.27884275,0.339427447
Argentina,ARG,2020-07-03,122,,69928,,1385,1,110,1,107,1,115,1,103,1,130,1,106,1,115,0.66,107,1,107,,,-49.31428571,91.48218233,,16.42219154,0.335302576
Argentina,ARG,2020-07-04,123,,72773,,1437,1,111,1,108,1,116,1,104,1,131,1,107,1,116,0.66,108,1,108,,,-49.48571429,91.52197239,,16.60060764,0.33534439
Argentina,ARG,2020-07-05,124,,72773,,1453,1,112,1,109,1,117,1,105,1,132,1,108,1,117,0.66,109,1,109,,,-49.31428571,91.56109922,,16.81666601,0.33614381
Argentina,ARG,2020-07-06,125,,75363,,1490,1,113,1,110,1,118,1,106,1,133,1,109,1,118,0.66,110,1,110,,,-49.37142857,91.59957928,,17.06801017,0.336907804
Argentina,ARG,2020-07-07,126,,77802,,1523,1,114,1,111,1,119,1,107,1,134,1,110,1,119,0.66,111,1,111,,,-49.05714286,91.6374285,,17.34897485,0.344588299
Argentina,ARG,2020-07-08,127,,80434,,1602,1,115,1,112,1,120,1,108,1,135,1,111,1,120,0.66,112,1,112,,,-47.94285714,91.67466228,,17.65235793,0.354664093
Argentina,ARG,2020-07-09,128,,83413,,1654,1,116,1,113,1,121,1,109,1,136,1,112,1,121,0.66,113,1,113,,,-49.82857143,91.71129553,,17.97095845,0.363885888
Argentina,ARG,2020-07-10,129,,87017,,1707,1,117,1,114,1,122,1,110,1,137,1,113,1,122,0.66,114,1,114,,,-51.25714286,91.74734267,,18.29861012,0.366151383
Argentina,ARG,2020-07-11,130,,90680,,1749,1,118,1,115,1,123,1,111,1,138,1,114,1,123,0.66,115,1,115,,,-51.17142857,91.78281768,,18.63059413,0.374382677
Argentina,ARG,2020-07-12,131,,94047,,1810,1,119,1,116,1,124,1,112,1,139,1,115,1,124,0.66,116,1,116,,,-51.25714286,91.81773408,,18.9635083,0.372729329
Argentina,ARG,2020-07-13,132,,97496,,1818,1,120,1,117,1,125,1,113,1,140,1,116,1,125,0.66,117,1,117,,,-50.94285714,91.85210497,,19.294843,0.374710384
Argentina,ARG,2020-07-14,133,,100153,,1903,1,121,1,118,1,126,1,114,1,141,1,117,1,126,0.66,118,1,118,,,-50.65714286,91.88594307,,19.62254929,0.379200411
Argentina,ARG,2020-07-15,134,,103252,,1926,1,122,1,119,1,127,1,115,1,142,1,118,1,127,0.66,119,1,119,,,-51.02857143,91.91926066,,19.94476466,0.382161736
Argentina,ARG,2020-07-16,135,,106897,,2050,1,123,1,120,1,128,1,116,1,143,1,119,1,128,0.66,120,1,120,,,-48.77142857,91.95206969,,20.25967723,0.375417154
Argentina,ARG,2020-07-17,136,,111147,,2112,1,124,1,121,1,129,1,117,1,144,1,120,1,129,0.66,121,1,121,,,-46.8,91.98438172,,20.56540511,0.386881483
Argentina,ARG,2020-07-18,137,,114770,,2133,1,125,1,122,1,130,1,118,1,145,1,121,1,130,0.66,122,1,122,,,-46.45714286,92.01620796,,20.85980987,0.378313795
Argentina,ARG,2020-07-19,138,,119288,,2204,1,126,1,123,1,131,1,119,1,146,1,122,1,131,0.66,123,1,123,,,-45.77142857,92.0475593,,21.14030911,0.397238826
Argentina,ARG,2020-07-20,139,,122511,,2246,1,127,0.66,124,1,132,1,120,1,147,1,123,1,132,0.66,124,1,124,,,-45.28571429,88.51032304,,21.40387124,0.406354821
Argentina,ARG,2020-07-21,140,,126742,,2373,1,128,0.66,125,1,133,1,121,1,148,1,124,1,133,0.66,125,1,125,,,-45.54285714,88.53921476,,21.64734859,0.426166602
Argentina,ARG,2020-07-22,141,,130761,,2373,1,129,0.66,126,1,134,1,122,1,149,1,125,1,134,0.66,126,1,126,,,-45.97142857,88.56768485,,21.86811967,0.443535163
Argentina,ARG,2020-07-23,142,,136105,,2506,1,130,0.66,127,1,135,1,123,1,150,1,126,1,135,0.66,127,1,127,,,-46.51428571,88.59574249,,22.06479232,0.475126137
Argentina,ARG,2020-07-24,143,,141887,,2617,1,131,0.66,128,1,136,1,124,1,151,1,127,1,136,0.66,128,1,128,,,-46.94285714,88.62339658,,22.23763742,0.485174068
Argentina,ARG,2020-07-25,144,,148014,,2722,1,132,0.66,129,1,137,1,125,1,152,1,128,1,137,0.66,129,1,129,,,-46.94285714,88.65065576,,22.39399341,0.504986438
